Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,dept
,Screen Arts and Cultures,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"The major offers three submajors: Screenwriting, Production, and Critical Studies. There is also an FTVM Honors Major.","Screen Arts & Cultures is a liberal arts course of study that gives students an understanding of the history, theory, and aesthetics of film, television, and other screen media. The major also provides students with the opportunity to engage creatively with screen media by taking courses in screenwriting and production. Majors learn to think critically and to write analytically about the history of screen media, their aesthetic and formal properties, and their social, cultural, and political effects. Students who major in FTVM have gone on to careers in fields such as film and television criticism, arts management, filmmaking, screenwriting, museum curating, teaching, archiving, journalism, public relations, and advertising. The major also prepares students for further academic study in graduate school in film, television, and media studies.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"Secondary Education, AB",,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"English, mathematics, social studies, or science. Science concentrations include: comprehensive science (biology, chemistry, earth science, and physics), life sciences (biology), and physical sciences (chemistry and physics).","In the undergraduate Secondary Teacher Education (Secondary TE) program, you will develop the knowledge and skills necessary to teach a specific subject in grades 6-12. As a Secondary TE student, you will choose to concentrate in one of the following subject areas: English, mathematics, social studies, or science. We offer three science concentrations: comprehensive science (biology, chemistry, earth science, and physics), life sciences (biology), and physical sciences (chemistry and physics). Your major can be in the subject area that you intend to teach, but it is not required. As a student in our program, you will engage in courses and fieldwork that focus on teaching diverse students in a just and equitable way. To ensure you have plenty of practical experience, we will place you in a local classroom during each semester of the program. You’ll be assigned a field instructor to provide one-on-one coaching and support, while an expert classroom teacher will serve as your mentor. During your final semester, you will be immersed in a full-time internship and take on the responsibilities of a classroom teacher.",,https://admissions.umich.edu/academics-majors/majors-degrees,The Marsal Family School of Education is a state-approved teacher preparation institution.,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"Sexuality, Women's and Gender Studies",,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Women’s and Gender Studies Department’s minor in Sexuality, Women's, and Gender Studies (SWAG) offers an interdisciplinary course of study that gives students the analytical tools to understand how gender and sexuality shape human societies. Students are introduced to the key concepts in the field; learn about the history of women's and queer social movements; study how gender and sexuality intersect with race, class, and other social identities; and explore these issues in a transnational context. They develop critical thinking skills through the analysis of a wide range of written and visual texts, and they sharpen their oral and written communication skills through class discussions, presentations, and a variety of writing assignments.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"Small Business Management, BBA",,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,Social Theory and Practice,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"Social Theory and Practice (STP) is an interdisciplinary major that asks students to think critically about the problems of modern societies and the paths to a more just and humane social order. Drawing upon social, political, and cultural theory, STP students learn to analyze historical and contemporary institutions and struggles over power and inequality. The major fosters independent research, community-engaged learning, and collaborative action. Through its two required courses and an array of electives in the social sciences and humanities, the major brings a variety of theoretical and practical perspectives to bear on specific problems and social movements. These range from civil rights and environmental justice to poverty, post-colonial liberation, public health, law, and education. Each student chooses a topical concentration that will form the basis of their intellectual interests in the major.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,Sociology,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"['Law, Justice, and Social Change', 'Social Work']","Sociology is the scientific study of society. We examine how individuals are shaped by their social settings, how social groups are formed and maintained, how and why societies change, and what the consequences of social change are. Major topics of sociological inquiry include social inequality (class, race, and gender), social institutions (the family, the economy, education), and social change (globalization, social movements). The Department of Sociology at the University of Michigan is consistently ranked as one of the best in the world. As a discipline, sociology is excellent training for a wide variety of careers.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"Sociology, AB",,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"Law, Justice, and Social Change, Sociology of Health and Medicine, International Social Change","The sociology major is designed to provide students with a deep understanding of the social world. It teaches students to think critically and analytically about social issues and social life. Students develop both quantitative and qualitative research skills and learn to analyze data and interpret research findings. As a sociology major, you’ll take courses covering a variety of topics, including race and ethnicity, gender and sexuality, health and medicine, law, crime and punishment, social class, and the family. In the process, you’ll develop the skills that will enable you to better understand and engage with the world around you.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,"Bachelor of Science in Software Engineering,",,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"computer game design, web engineering, or mobile applications","Software engineers are concerned with all aspects of software production from the early stages of system specification to maintaining the system after it has gone into use. In this program, students will learn the principles of software engineering and will learn to apply them to the creation of complex software systems. The curriculum has a strong technical focus that is balanced with an emphasis on professional practice. The curriculum has a strong technical focus with a professional practice emphasis. The core curriculum covers the foundations of computer science and software engineering. Students choose electives from topics such as web engineering, mobile application development, computer game design, artificial intelligence, robotics, computer graphics, and information security. Students in this program must choose a concentration from one of these areas: computer game design, web engineering, or mobile applications.",,https://admissions.umich.edu/academics-majors/majors-degrees,"The Bachelor of Science in Software Engineering program at UM-Dearborn is accredited by the Computing Accreditation Commission of ABET, https://www.abet.org.",,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,Sound Engineering,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Bachelor of Science in Sound Engineering is a rigorous and creative four-year curriculum that prepares students to become leaders in the art and science of sound engineering. The program builds on a strong undergraduate-level foundation of electrical engineering and computer science from the College of Engineering and is combined with the world-class performance and music instruction of the School of Music, Theatre & Dance. A balance of demanding technical course work, practical hands-on experience in our state-of-the-art studios, and a rich all-encompassing music education ensures that our graduates are well-prepared for any number of exciting career paths in the industry. These paths include music recording and production, live sound reinforcement, sound for film and video, sound for the performing arts, sound for mixed media, and hardware or software design.",,https://admissions.umich.edu/academics-majors/majors-degrees,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
,Space Sciences and Engineering,,,,,Undergraduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,"['Space Science', 'Space Engineering']","Space sciences is the study of space, from our own solar system to distant galaxies. Space engineering is the application of science and engineering to the design, development, and operation of space systems. At U-M, we are one of the only universities to combine both of these fields into a single comprehensive department. From understanding space weather and predicting solar flares to designing satellites and launching rockets, students in the Department of Climate and Space Sciences and Engineering have the opportunity to make an impact on humankind’s most important challenges. The Space Sciences and Engineering (SSE) undergraduate degree program is designed for students who are passionate about the exploration of space and interested in the science of the space environment and the engineering of space systems. The program provides a broad knowledge of the space environment and the fundamentals of spacecraft design, with specialization tracks in either space science or space engineering. After graduation, SSE students find jobs at established aerospace companies and government agencies, at startups that are part of the booming NewSpace economy, and in other high-tech sectors where a strong background in science and engineering is valued. Many students also choose to go on to graduate school.",,https://admissions.umich.edu/academics-majors/majors-degrees,"The Space Engineering track of the BSE in Space Sciences and Engineering is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,False,,,,Rackham Graduate School Admissions
